id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_shareCount,stats_playCount,video_duration,isAd
7254934043446349099,AMAZON FINDS,ariellebrimhall,34,0,126,17,6319,60,
7254574905004543274,AMAZON FINDS,ariellebrimhall,27,2,121,7,4615,58,
7254198273228066094,AMAZON FINDS,ariellebrimhall,35,1,146,31,5969,39,
7205597628233567531,AMAZON FINDS,ariellebrimhall,19,0,80,6,4024,27,
7205227237312859438,AMAZON FINDS,ariellebrimhall,50,3,167,18,7922,34,
7204513749808729390,AMAZON FINDS,ariellebrimhall,38,2,321,10,10500,172,
7032013929412922670,Margaret & Stetson,everythingenvy,60,2,848,64,34700,17,
7031991543846194479,Margaret & Stetson,everythingenvy,49,0,602,9,17000,17,
7031688952398761263,Margaret & Stetson,everythingenvy,35,3,420,26,16200,11,
7030876550497144069,Margaret & Stetson,everythingenvy,53,7,1083,134,64000,13,
7029381761125862702,Margaret & Stetson,everythingenvy,119,8,888,71,43200,21,
7029167746831322414,Margaret & Stetson,everythingenvy,33,0,257,26,11700,22,
7029077340122680622,Margaret & Stetson,everythingenvy,23,2,185,10,13000,8,
7028657279771839790,Margaret & Stetson,everythingenvy,21,2,285,24,12500,15,
7028654413715655982,Margaret & Stetson,everythingenvy,20,1,199,12,10700,13,
7028648827850738991,Margaret & Stetson,everythingenvy,34,1,366,12,12400,29,
7028379677832105263,Margaret & Stetson,everythingenvy,24,1,455,21,15500,14,
7027999097097555246,Margaret & Stetson,everythingenvy,101,8,1599,71,52200,13,
7027131470514752773,Margaret & Stetson,everythingenvy,11800,312,128500,9185,2800000,14,
7026032236227202350,Margaret & Stetson,everythingenvy,7,2,213,6,20600,15,
7026029126406458670,Margaret & Stetson,everythingenvy,57,1,830,58,60300,14,
7024548136198704430,Margaret & Stetson,everythingenvy,75,11,695,122,34200,27,
7024281882674089221,Margaret & Stetson,everythingenvy,849,32,11600,918,469500,16,
7023156958207151366,Margaret & Stetson,everythingenvy,84,7,707,115,24800,19,
7044307550761946414,Margaret & Stetson,everythingenvy,81,2,963,47,64200,12,
7042856917462519046,Margaret & Stetson,everythingenvy,18,2,2508,6,23100,21,
7042744953205705990,Margaret & Stetson,everythingenvy,76,5,672,52,17900,14,
7040970502063525125,Margaret & Stetson,everythingenvy,234,28,2574,521,162300,25,True
7039787381905558790,Margaret & Stetson,everythingenvy,22,0,196,9,13300,11,
7038684027553074478,Margaret & Stetson,everythingenvy,22,0,193,9,10200,18,
7037617692555398446,Margaret & Stetson,everythingenvy,42,4,376,23,15400,31,
7035005282866695471,Margaret & Stetson,everythingenvy,39,2,405,18,12900,25,
7034397890785086766,Margaret & Stetson,everythingenvy,7,1,126,9,10800,18,
7205211128945855787,Margaret & Stetson,everythingenvy,601,6,2416,93,135900,12,
7203514919780748586,Margaret & Stetson,everythingenvy,1772,7,6100,302,306900,18,
7203215894514765098,Margaret & Stetson,everythingenvy,320,0,1608,59,37100,16,
7202402136670358826,Margaret & Stetson,everythingenvy,8365,66,48700,1074,676700,17,
7200883331414756650,Margaret & Stetson,everythingenvy,47500,1019,154000,27300,4600000,11,
7199790980566994219,Margaret & Stetson,everythingenvy,11000,55,63300,1577,945400,19,
7198674104273210667,Margaret & Stetson,everythingenvy,566,4,2135,136,62000,17,
7197570855184960810,Margaret & Stetson,everythingenvy,11400,247,35300,3752,1500000,18,True
7195730311873973547,Margaret & Stetson,everythingenvy,29200,106,173000,6782,3500000,17,
